BSSE1C,se-242524,G'9',COLUMN-1, Chair No - 2
BSSE1C,se-242525,G'9',COLUMN-1, Chair No - 1
BSCS1D,cs-242259,G'9',COLUMN-2, Chair No - 8
BSCS1D,cs-242260,G'9',COLUMN-2, Chair No - 7
BSCS1D,cs-242261,G'9',COLUMN-2, Chair No - 6
BSCS1D,cs-242262,G'9',COLUMN-2, Chair No - 5
BSCS1D,cs-242263,G'9',COLUMN-2, Chair No - 4
BSCS1D,cs-242264,G'9',COLUMN-2, Chair No - 3
BSCS1D,cs-242265,G'9',COLUMN-2, Chair No - 2
BSCS1D,cs-242267,G'9',COLUMN-2, Chair No - 1
BSCS2A,cs-241145,G'9',COLUMN-3, Chair No - 8
BSCS2A,cs-241146,G'9',COLUMN-3, Chair No - 7
BSCS2A,cs-241147,G'9',COLUMN-3, Chair No - 6
BSCS2A,cs-241148,G'9',COLUMN-3, Chair No - 5
BSCS2A,cs-241149,G'9',COLUMN-3, Chair No - 4
BSCS2A,cs-241150,G'9',COLUMN-3, Chair No - 3
BSCS2A,cs-241151,G'9',COLUMN-3, Chair No - 2
BSCS2A,cs-241152,G'9',COLUMN-3, Chair No - 1
BSSE1C,se-242526,G'9',COLUMN-4, Chair No - 8
BSSE1C,se-242527,G'9',COLUMN-4, Chair No - 7
BSSE1C,se-242528,G'9',COLUMN-4, Chair No - 6
BSSE1C,se-242530,G'9',COLUMN-4, Chair No - 5
BSSE1C,se-242531,G'9',COLUMN-4, Chair No - 4
BSSE1C,se-242532,G'9',COLUMN-4, Chair No - 3
BSSE1C,se-242533,G'9',COLUMN-4, Chair No - 2
BSSE1C,se-242534,G'9',COLUMN-4, Chair No - 1
BSCS1D,cs-242268,G'9',COLUMN-5, Chair No - 8
BSCS1D,cs-242269,G'9',COLUMN-5, Chair No - 7
BSCS1D,cs-242270,G'9',COLUMN-5, Chair No - 6
BSCS1D,cs-242271,G'9',COLUMN-5, Chair No - 5
BSCS1D,cs-242272,G'9',COLUMN-5, Chair No - 4
BSCS1D,cs-242273,G'9',COLUMN-5, Chair No - 3
BSCS1D,cs-242275,G'9',COLUMN-5, Chair No - 2
BSCS1D,cs-242276,G'9',COLUMN-5, Chair No - 1
BSCS1B,cs-242151,SS'1',COLUMN-1, Chair No - 8
BSCS1B,cs-242152,SS'1',COLUMN-1, Chair No - 7
BSCS1B,cs-242153,SS'1',COLUMN-1, Chair No - 6
BSCS1B,cs-242155,SS'1',COLUMN-1, Chair No - 5
BSCS1B,cs-242156,SS'1',COLUMN-1, Chair No - 4
BSCS1B,cs-242157,SS'1',COLUMN-1, Chair No - 3
BSCS1B,cs-242158,SS'1',COLUMN-1, Chair No - 2
BSCS1B,cs-242159,SS'1',COLUMN-1, Chair No - 1
BSSE5A,12284,SS'1',COLUMN-2, Chair No - 8
BSSE5A,12285,SS'1',COLUMN-2, Chair No - 7
BSSE5A,12287,SS'1',COLUMN-2, Chair No - 6
BSSE5A,12288,SS'1',COLUMN-2, Chair No - 5
BSSE5A,12290,SS'1',COLUMN-2, Chair No - 4
BSSE5A,12291,SS'1',COLUMN-2, Chair No - 3
BSSE5A,12293,SS'1',COLUMN-2, Chair No - 2
BSSE5A,12294,SS'1',COLUMN-2, Chair No - 1
BSCS5B,12170,SS'1',COLUMN-3, Chair No - 8
BSCS5B,12172,SS'1',COLUMN-3, Chair No - 7
BSCS5B,12173,SS'1',COLUMN-3, Chair No - 6
BSCS5B,12176,SS'1',COLUMN-3, Chair No - 5
BSCS5B,12177,SS'1',COLUMN-3, Chair No - 4
BSCS5B,12178,SS'1',COLUMN-3, Chair No - 3
BSCS5B,12179,SS'1',COLUMN-3, Chair No - 2
BSCS5B,12182,SS'1',COLUMN-3, Chair No - 1
BSCS1B,cs-242161,SS'1',COLUMN-4, Chair No - 8
BSCS1B,cs-242162,SS'1',COLUMN-4, Chair No - 7
BSCS1B,cs-242163,SS'1',COLUMN-4, Chair No - 6
BSCS1B,cs-242164,SS'1',COLUMN-4, Chair No - 5
BSCS1B,cs-242165,SS'1',COLUMN-4, Chair No - 4
BSCS1B,cs-242166,SS'1',COLUMN-4, Chair No - 3
BSCS1B,cs-242167,SS'1',COLUMN-4, Chair No - 2
BSCS1B,cs-242169,SS'1',COLUMN-4, Chair No - 1
BSSE5A,12295,SS'1',COLUMN-5, Chair No - 8
BSSE5A,12296,SS'1',COLUMN-5, Chair No - 7
BSSE5A,12297,SS'1',COLUMN-5, Chair No - 6
BSSE5A,12298,SS'1',COLUMN-5, Chair No - 5
BSSE5A,12299,SS'1',COLUMN-5, Chair No - 4
BSSE5A,12300,SS'1',COLUMN-5, Chair No - 3
BSSE5A,12302,SS'1',COLUMN-5, Chair No - 2
BSSE5A,12304,SS'1',COLUMN-5, Chair No - 1
BSCS1B,cs-242170,SS'2',COLUMN-1, Chair No - 8
BSCS1B,cs-242171,SS'2',COLUMN-1, Chair No - 7
BSCS1B,cs-242172,SS'2',COLUMN-1, Chair No - 6
BSCS1B,cs-242173,SS'2',COLUMN-1, Chair No - 5
BSCS1B,cs-242174,SS'2',COLUMN-1, Chair No - 4
BSCS1B,cs-242175,SS'2',COLUMN-1, Chair No - 3
BSCS1B,cs-242176,SS'2',COLUMN-1, Chair No - 2
BSCS1B,cs-242177,SS'2',COLUMN-1, Chair No - 1
BSSE5A,12305,SS'2',COLUMN-2, Chair No - 8
BSSE5A,12307,SS'2',COLUMN-2, Chair No - 7
BSSE5A,12308,SS'2',COLUMN-2, Chair No - 6
BSSE5A,12309,SS'2',COLUMN-2, Chair No - 5
BSSE5A,12311,SS'2',COLUMN-2, Chair No - 4
BSSE5A,12312,SS'2',COLUMN-2, Chair No - 3
BSSE5A,12313,SS'2',COLUMN-2, Chair No - 2
BSSE5A,12316,SS'2',COLUMN-2, Chair No - 1
